file_path,file_name,buggy_line_no,file_last_modified,buggy_class_name,buggy_method_name,short_description,method_param_list,file_size,depth,indentation,number_of_classes,method_no_in_buggy_class,method_no_in_file,number_of_line_with_comment,buggy_method_starting_line,buggy_method_ending_line,buggy_method_length_with_comment,buggy_class_start_line_with_comment,buggy_class_end_line_with_comment,buggy_class_length_with_comment,buggy_method_type_id,buggy_method_param_number,buggy_method_start_line_without_comment,buggy_method_end_line_without_comment,buggy_class_start_line_without_comment,buggy_class_end_line_without_comment,buggy_method_length_without_comment,buggy_class_length_without_comment,buggy_file_length_without_comment,cwe_id,Average_Operation_Complexity,Weighted_Method_Complexity,Essential_Cyclomatic_Complexity,Design_Complexity,Cyclomatic_Complexity,Coupling_Between_Objects,Depth_Of_Inheritance_Tree,Lack_Of_Cohesion_Of_Methods,Number_Of_Children,Response_For_Class,Chidamber_Weighted_Method_Complexity,tp,label
java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,BenchmarkTest00005.java,65,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00005,doPost,The cipher does not provide data integrity,[HttpServletRequest request# HttpServletResponse response],5662,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,70,2,71,60,69,71,353,3,6,3,11,11,1,3,1,0,29,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,BenchmarkTest00005.java,65,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00005,doPost,DES/DESede should be replaced with AES,[HttpServletRequest request# HttpServletResponse response],5662,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,70,2,71,60,69,71,326,3,6,3,11,11,1,3,1,0,29,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,BenchmarkTest00005.java,68,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00005,doPost,DES/DESede should be replaced with AES,[HttpServletRequest request# HttpServletResponse response],5662,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,70,2,71,60,69,71,326,3,6,3,11,11,1,3,1,0,29,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,BenchmarkTest00005.java,69,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00005,doPost,The initialization vector (IV) is not properly generated,[HttpServletRequest request# HttpServletResponse response],5662,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,70,2,71,60,69,71,329,3,6,3,11,11,1,3,1,0,29,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,BenchmarkTest00005.java,89,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00005,doPost,File(...) reads a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],5662,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,70,2,71,60,69,71,22,3,6,3,11,11,1,3,1,0,29,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,BenchmarkTest00005.java,94,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00005,doPost,This use of PrintWriter.println(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],5662,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,70,2,71,60,69,71,79,3,6,3,11,11,1,3,1,0,29,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00007.java,BenchmarkTest00007.java,61,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00007,doPost,This usage of Runtime.exec(...) can be vulnerable to Command Injection,[HttpServletRequest request# HttpServletResponse response],2437,5,12,1,2,2,72,40,70,30,30,72,42,0,2,10,29,2,30,19,28,30,78,1.5,3,1,3,3,1,3,1,0,17,3,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,BenchmarkTest00008.java,58,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00008,doPost,This use of Connection.prepareCall(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2506,5,12,1,2,2,73,40,71,31,30,73,43,0,2,10,31,2,32,21,30,32,89,2,4,2,4,4,1,3,1,0,12,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00011.java,BenchmarkTest00011.java,56,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00011,doPost,File(...) reads a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],2368,5,8,1,2,2,69,40,67,27,30,69,39,0,2,10,25,2,26,15,24,26,22,2,4,1,4,4,0,3,1,0,14,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00012.java,BenchmarkTest00012.java,68,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00012,doPost,This use of InitialDirContext.search(...) can be vulnerable to LDAP injection,[HttpServletRequest request# HttpServletResponse response],3593,5,16,1,2,2,97,40,95,55,30,97,67,0,2,10,49,2,50,39,48,50,90,2.5,5,1,5,7,1,3,1,0,21,5,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00013.java,BenchmarkTest00013.java,58,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00013,doPost,This use of PrintWriter.format(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],2110,5,8,1,2,2,61,40,59,19,30,61,31,0,2,10,21,2,22,11,20,22,79,1.5,3,1,3,3,0,3,1,0,10,3,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00014.java,BenchmarkTest00014.java,58,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00014,doPost,This use of PrintWriter.format(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],2090,5,8,1,2,2,61,40,59,19,30,61,31,0,2,10,21,2,22,11,20,22,79,1.5,3,1,3,3,0,3,1,0,10,3,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00017.java,BenchmarkTest00017.java,65,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00017,doPost,This usage of Runtime.exec(...) can be vulnerable to Command Injection,[HttpServletRequest request# HttpServletResponse response],2564,5,12,1,2,2,76,40,74,34,30,76,46,0,2,10,32,2,33,22,31,33,78,2,4,1,5,5,1,3,1,0,19,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,BenchmarkTest00018.java,60,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00018,doPost,This use of Statement.executeUpdate(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2567,5,12,1,2,2,73,40,71,31,30,73,43,0,2,10,31,2,32,21,30,32,89,2,4,2,5,5,1,3,1,0,13,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,BenchmarkTest00018.java,60,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00018,doPost,Dead store to count in org.owasp.benchmark.testcode.BenchmarkTest00018.doPost(HttpServletRequest; HttpServletResponse),[HttpServletRequest request# HttpServletResponse response],2567,5,12,1,2,2,73,40,71,31,30,73,43,0,2,10,31,2,32,21,30,32,563,2,4,2,5,5,1,3,1,0,13,4,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,BenchmarkTest00018.java,60,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00018,doPost,Dead store to count in org.owasp.benchmark.testcode.BenchmarkTest00018.doPost(HttpServletRequest; HttpServletResponse),[HttpServletRequest request# HttpServletResponse response],2567,5,12,1,2,2,73,40,71,31,30,73,43,0,2,10,31,2,32,21,30,32,563,2,4,2,5,5,1,3,1,0,13,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,BenchmarkTest00019.java,55,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00019,doPost,DES/DESede should be replaced with AES,[HttpServletRequest request# HttpServletResponse response],4828,5,12,1,2,2,122,40,120,80,30,122,92,0,2,10,62,2,63,52,61,63,326,2.5,5,3,9,9,1,3,1,0,31,5,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,BenchmarkTest00019.java,75,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00019,doPost,File(...) reads a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],4828,5,12,1,2,2,122,40,120,80,30,122,92,0,2,10,62,2,63,52,61,63,22,2.5,5,3,9,9,1,3,1,0,31,5,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,BenchmarkTest00019.java,80,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00019,doPost,This use of PrintWriter.println(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],4828,5,12,1,2,2,122,40,120,80,30,122,92,0,2,10,62,2,63,52,61,63,79,2.5,5,3,9,9,1,3,1,0,31,5,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,BenchmarkTest00020.java,60,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00020,doPost,The cipher does not provide data integrity,[HttpServletRequest request# HttpServletResponse response],5778,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,73,2,74,63,72,74,353,3,6,3,11,12,1,3,1,0,28,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,BenchmarkTest00020.java,60,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00020,doPost,DES/DESede should be replaced with AES,[HttpServletRequest request# HttpServletResponse response],5778,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,73,2,74,63,72,74,326,3,6,3,11,12,1,3,1,0,28,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,BenchmarkTest00020.java,62,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00020,doPost,DES/DESede should be replaced with AES,[HttpServletRequest request# HttpServletResponse response],5778,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,73,2,74,63,72,74,326,3,6,3,11,12,1,3,1,0,28,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,BenchmarkTest00020.java,63,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00020,doPost,The initialization vector (IV) is not properly generated,[HttpServletRequest request# HttpServletResponse response],5778,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,73,2,74,63,72,74,329,3,6,3,11,12,1,3,1,0,28,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,BenchmarkTest00020.java,83,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00020,doPost,File(...) reads a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],5778,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,73,2,74,63,72,74,22,3,6,3,11,12,1,3,1,0,28,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,BenchmarkTest00020.java,88,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00020,doPost,This use of PrintWriter.println(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],5778,5,12,1,2,2,141,40,139,99,30,141,111,0,2,10,73,2,74,63,72,74,79,3,6,3,11,12,1,3,1,0,28,6,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00021.java,BenchmarkTest00021.java,59,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00021,doPost,This use of DirContext.search(...) can be vulnerable to LDAP injection,[HttpServletRequest request# HttpServletResponse response],3272,5,12,1,2,2,88,40,86,46,30,88,58,0,2,10,46,2,47,36,45,47,90,2.5,5,1,3,6,1,3,1,0,18,5,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00023.java,BenchmarkTest00023.java,49,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00023,doPost,The use of java.util.Random is predictable,[HttpServletRequest request# HttpServletResponse response],3363,5,8,1,2,2,96,40,94,54,30,96,66,0,2,10,46,2,47,36,45,47,330,4,8,1,5,8,1,3,1,0,26,8,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00023.java,BenchmarkTest00023.java,49,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00023,doPost,Random object created and used only once in org.owasp.benchmark.testcode.BenchmarkTest00023.doPost(HttpServletRequest; HttpServletResponse),[HttpServletRequest request# HttpServletResponse response],3363,5,8,1,2,2,96,40,94,54,30,96,66,0,2,10,46,2,47,36,45,47,440,4,8,1,5,8,1,3,1,0,26,8,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00024.java,BenchmarkTest00024.java,53,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00024,doPost,This use of Connection.prepareStatement(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2503,5,12,1,2,2,70,40,68,28,30,70,40,0,2,10,31,2,32,21,30,32,89,2,4,2,3,4,1,3,1,0,12,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00025.java,BenchmarkTest00025.java,51,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00025,doPost,This use of JdbcTemplate.queryForLong(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2570,5,12,1,2,2,75,40,73,33,30,75,45,0,2,10,30,2,31,20,29,31,89,2,4,2,4,5,1,3,1,0,11,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00026.java,BenchmarkTest00026.java,52,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00026,doPost,This use of JdbcTemplate.queryForRowSet(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2751,5,16,1,2,2,78,40,76,36,30,78,48,0,2,10,32,2,33,22,31,33,89,2.5,5,2,5,6,1,3,1,0,12,5,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,BenchmarkTest00027.java,53,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00027,doPost,This use of Statement.executeUpdate(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2284,5,12,1,2,2,66,40,64,24,30,66,36,0,2,10,29,2,30,19,28,30,89,2,4,2,3,4,1,3,1,0,10,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,BenchmarkTest00027.java,53,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00027,doPost,Dead store to count in org.owasp.benchmark.testcode.BenchmarkTest00027.doPost(HttpServletRequest; HttpServletResponse),[HttpServletRequest request# HttpServletResponse response],2284,5,12,1,2,2,66,40,64,24,30,66,36,0,2,10,29,2,30,19,28,30,563,2,4,2,3,4,1,3,1,0,10,4,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,BenchmarkTest00027.java,53,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00027,doPost,Dead store to count in org.owasp.benchmark.testcode.BenchmarkTest00027.doPost(HttpServletRequest; HttpServletResponse),[HttpServletRequest request# HttpServletResponse response],2284,5,12,1,2,2,66,40,64,24,30,66,36,0,2,10,29,2,30,19,28,30,563,2,4,2,3,4,1,3,1,0,10,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00028.java,BenchmarkTest00028.java,60,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00028,doPost,FileOutputStream(...) writes to a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],2514,5,12,1,2,2,80,40,78,38,30,80,50,0,2,10,37,2,38,27,36,38,22,2.5,5,1,4,6,1,3,1,0,13,5,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00030.java,BenchmarkTest00030.java,56,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00030,doPost,This use of PrintWriter.printf(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],1935,5,8,1,2,2,59,40,57,17,30,59,29,0,2,10,23,2,24,13,22,24,79,2,4,1,2,3,0,3,1,0,9,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00032.java,BenchmarkTest00032.java,57,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00032,doPost,This use of JdbcTemplate.execute(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2479,5,12,1,2,2,73,40,71,31,30,73,43,0,2,10,31,2,32,21,30,32,89,2.5,5,2,4,5,1,3,1,0,12,5,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00033.java,BenchmarkTest00033.java,57,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00033,doPost,This use of JdbcTemplate.queryForRowSet(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2869,5,16,1,2,2,83,40,81,41,30,83,53,0,2,10,36,2,37,26,35,37,89,3,6,2,6,7,1,3,1,0,14,6,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00034.java,BenchmarkTest00034.java,58,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00034,doPost,This use of Statement.execute(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2429,5,12,1,2,2,71,40,69,29,30,71,41,0,2,10,33,2,34,23,32,34,89,2.5,5,2,4,5,1,3,1,0,12,5,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,BenchmarkTest00035.java,70,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00035,doPost,DES/DESede should be replaced with AES,[HttpServletRequest request# HttpServletResponse response],5253,5,12,1,2,2,137,40,135,95,30,137,107,0,2,10,77,2,78,67,76,78,326,4.5,9,3,13,15,2,3,1,0,35,9,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,BenchmarkTest00035.java,90,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00035,doPost,File(...) reads a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],5253,5,12,1,2,2,137,40,135,95,30,137,107,0,2,10,77,2,78,67,76,78,22,4.5,9,3,13,15,2,3,1,0,35,9,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,BenchmarkTest00035.java,95,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00035,doPost,This use of PrintWriter.println(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],5253,5,12,1,2,2,137,40,135,95,30,137,107,0,2,10,77,2,78,67,76,78,79,4.5,9,3,13,15,2,3,1,0,35,9,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00036.java,BenchmarkTest00036.java,67,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00036,doPost,This use of PrintWriter.write(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],2266,5,12,1,2,2,71,40,69,29,30,71,41,0,2,10,34,2,35,24,33,35,79,3.5,7,1,6,8,1,3,1,0,13,7,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00037.java,BenchmarkTest00037.java,67,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00037,doPost,This use of Connection.prepareStatement(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2890,5,12,1,2,2,84,40,82,42,30,84,54,0,2,10,43,2,44,33,42,44,89,3.5,7,2,7,9,2,3,1,0,16,7,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00038.java,BenchmarkTest00038.java,65,9/10/2019 10:31,org.owasp.benchmark.testcode.BenchmarkTest00038,doPost,This use of JdbcTemplate.query(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],3538,5,12,2,3,4,103,40,101,61,30,103,73,0,2,10,57,2,58,47,56,58,89,3.33,10,3,9,13,2,3,1,0,14,10,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00039.java,BenchmarkTest00039.java,65,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00039,doPost,This use of JdbcTemplate.queryForMap(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],3028,5,12,1,2,2,89,40,87,47,30,89,59,0,2,10,42,2,43,32,41,43,89,3.5,7,2,8,10,2,3,1,0,15,7,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00040.java,BenchmarkTest00040.java,50,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00040,doPost,File(...) reads a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],2193,5,8,1,2,2,63,40,61,21,30,63,33,0,2,10,24,2,25,14,23,25,22,2,4,1,2,3,1,3,1,0,12,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00041.java,BenchmarkTest00041.java,54,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00041,doPost,This use of PrintWriter.write(...) could be vulnerable to XSS,[HttpServletRequest request# HttpServletResponse response],1988,5,12,1,2,2,58,40,56,16,30,58,28,0,2,10,23,2,24,13,22,24,79,2,4,1,2,3,1,3,1,0,9,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00043.java,BenchmarkTest00043.java,54,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00043,doPost,This use of Statement.executeUpdate(...) can be vulnerable to SQL injection,[HttpServletRequest request# HttpServletResponse response],2422,5,12,1,2,2,67,40,65,25,30,67,37,0,2,10,30,2,31,20,29,31,89,2,4,2,3,4,2,3,1,0,11,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00043.java,BenchmarkTest00043.java,54,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00043,doPost,Dead store to count in org.owasp.benchmark.testcode.BenchmarkTest00043.doPost(HttpServletRequest; HttpServletResponse),[HttpServletRequest request# HttpServletResponse response],2422,5,12,1,2,2,67,40,65,25,30,67,37,0,2,10,30,2,31,20,29,31,563,2,4,2,3,4,2,3,1,0,11,4,0,1
java/org/owasp/benchmark/testcode/BenchmarkTest00043.java,BenchmarkTest00043.java,54,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00043,doPost,Dead store to count in org.owasp.benchmark.testcode.BenchmarkTest00043.doPost(HttpServletRequest; HttpServletResponse),[HttpServletRequest request# HttpServletResponse response],2422,5,12,1,2,2,67,40,65,25,30,67,37,0,2,10,30,2,31,20,29,31,563,2,4,2,3,4,2,3,1,0,11,4,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00044.java,BenchmarkTest00044.java,62,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00044,doPost,This use of DirContext.search(...) can be vulnerable to LDAP injection,[HttpServletRequest request# HttpServletResponse response],3274,5,12,1,2,2,91,40,89,49,30,91,61,0,2,10,48,2,49,38,47,49,90,2.5,5,1,3,7,2,3,1,0,18,5,1,0
